run_name,vehicles_completed,avg_duration,avg_waiting_time,avg_time_loss,std_waiting_time
ai,1582,297.86599241466496,202.93109987357775,261.6346649810366,254.386102936888
ai_high,1887,497.84684684684686,388.7832538420774,459.42675675675673,485.97214088160945
ai_low,673,233.48291233283803,146.15453194650817,198.66393759286777,133.80430544556546
ai_medium,1528,318.23494764397907,221.7997382198953,282.36058900523557,233.6250118929644
high,179,159.3463687150838,85.08379888268156,129.38569832402234,55.318269277197146
incident_ai,1918,404.4650677789364,301.4718456725756,368.0410636079249,346.2592751740547
incident_baseline,1844,353.53633405639914,256.6990238611714,316.70700650759215,342.34852602411775
incident_reroute,1853,347.4322719913653,250.3005936319482,310.7328818132758,320.72162287363335
low,678,209.49410029498526,126.53244837758112,174.7076401179941,100.40894804776431
medium,1607,253.2065961418793,164.23397635345364,217.3395270690728,173.24998319773192
rl_medium_improved,1607,253.2065961418793,164.23397635345364,217.3395270690728,173.24998319773192
rl_medium_run1,1506,328.56573705179284,227.58300132802125,292.4957901726427,265.3886163551851
